Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arcos de Valdevez,35.3,30.2,36.7,37.6,42.8,41.8,45.5,45.9,45.4,49.1,46.9,46.8
Caminha,76.6,58.4,64.5,61.4,64.3,67.0,68.3,67.3,66.5,,,46.8
Melgaço,41.6,29.8,36.2,39.0,43.5,51.0,45.3,46.2,45.5,50.9,52.3,53.6
Monção,44.8,31.7,39.8,37.5,37.8,46.9,47.3,39.8,41.1,43.0,53.7,68.2
Paredes de Coura,44.7,38.3,42.0,41.0,44.8,48.2,55.5,52.6,51.0,47.9,47.0,46.8
Ponte da Barca,31.7,28.0,29.9,37.3,30.3,30.7,39.2,33.8,34.2,53.7,62.6,56.8
Ponte de Lima,33.1,52.5,34.9,34.3,33.3,35.5,41.4,53.3,45.5,48.9,46.9,46.8
Valença,56.1,46.8,51.3,49.5,52.0,49.9,71.7,63.5,70.4,47.6,47.2,46.8
Viana do Castelo,58.7,39.2,57.6,52.8,53.7,43.5,46.1,45.9,45.4,48.0,47.0,46.8
Vila Nova de Cerveira,62.3,56.6,60.8,57.8,61.2,62.8,55.0,55.7,52.8,52.4,50.7,53.0
Amares,44.9,38.1,54.5,46.6,50.6,37.3,43.6,44.3,43.3,46.8,44.4,45.6
Barcelos,23.5,23.0,24.3,24.5,26.8,27.8,29.5,29.4,30.1,32.7,33.5,34.8
Braga,54.9,50.5,49.4,47.7,48.9,50.4,52.1,51.6,52.6,54.0,53.7,54.6
Esposende,58.0,47.0,52.3,48.8,47.3,49.0,52.3,50.6,52.3,53.8,53.9,54.0
Terras de Bouro,29.6,48.1,49.1,46.5,68.0,70.0,71.9,79.6,90.0,97.9,93.8,78.4
Vila Verde,30.1,26.9,28.0,27.8,29.7,30.3,32.6,31.7,33.7,33.6,33.2,34.2
Cabeceiras de Basto,26.1,25.3,33.0,32.4,35.9,34.1,34.3,34.5,35.2,44.8,40.8,39.1
Fafe,30.6,27.8,29.6,28.0,30.2,30.5,31.8,31.4,30.2,31.0,31.3,32.1
Guimarães,42.5,38.3,44.3,38.5,22.9,42.9,43.9,42.5,42.6,43.2,43.2,44.4
Mondim de Basto,106.4,37.9,42.9,43.2,31.4,33.0,35.0,35.3,40.6,40.3,36.8,46.3
Póvoa de Lanhoso,20.6,17.1,20.2,20.4,22.3,24.3,24.9,24.7,25.0,29.4,28.2,29.2
Vieira do Minho,27.1,23.1,24.6,24.5,26.5,25.8,26.9,26.8,28.0,29.2,37.2,31.0
Vila Nova de Famalicão,31.5,27.0,29.8,29.4,31.3,31.5,35.8,35.0,31.4,36.2,33.5,35.7
Vizela,42.7,0.2,0.3,39.2,152.6,35.4,37.6,33.8,34.6,44.5,43.4,44.4
Arouca,23.6,20.9,22.7,22.6,26.8,24.8,26.5,25.7,25.7,24.9,26.2,17.8
Espinho,62.4,43.9,50.0,56.2,47.5,54.9,51.0,51.5,52.7,52.9,48.8,46.1
Gondomar,48.5,45.6,45.3,43.8,43.9,43.7,44.7,43.4,43.3,45.0,43.4,42.8
Maia,53.2,48.8,50.4,49.3,50.6,51.6,54.5,53.4,54.9,54.8,53.6,52.4
Matosinhos,59.8,55.6,57.9,58.4,59.5,59.4,61.0,60.7,61.0,60.4,59.1,59.4
Oliveira de Azeméis,21.9,20.6,21.0,20.2,24.6,25.3,27.0,26.0,26.6,27.2,27.0,27.9
Paredes,16.6,15.3,15.8,15.4,16.5,16.8,17.8,17.7,17.9,18.7,18.8,32.2
